,Name,Description,Recipe,Ingredients,Nutrition Facts,Video Link
1542,Code Red,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the Schnapps - Peach Schnapps and Midori melon liqueur into a highball glass filled with ice cubes. Add Code Red to taste. and serve., | 1.5 oz: Peach Schnapps | 1 oz: Melon Liqueur | 2/4/2006: Cherry Soda,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1543,Cody Spunk,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour Smirnoff Vodka. Amaretto. Buttershots and milk into a cup and stir together. Top with cream and enjoy., | 1 oz: Vodka | 2 oz: Almond Liqueur | 2 oz: Butterscotch Liqueur | 2 oz: Milk | .5 oz: Cream,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1544,Captain and Tonic,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the Captain Morgan Rum - Spiced Rum into a highball glass filled with ice cubes. Fill with tonic water. stir. and serve., | 1.5 oz: Spiced Rum | 5 oz: Tonic Water,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1545,Albemarle Fizz,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Put two ice cubes in a highball glass. Pour in gin. lemon juice. and raspberry syrup. Fill with carbonated water. Stir before serving., | 2 oz: Gin | 6 - 8 oz: Club Soda | .5:oz: Lemon Juice | 1 tsp: Raspberry Puree,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1546,Cherasberry Rum and Coke,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Stir ingredients together in a highball glass filled with ice cubes. and serve., | 2 oz: Raspberry Rum | 4 oz: Cherry Cola,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1547,Ciclon and Coke,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the Bacardi Ciclon rum over ice in an old-fashioned glass. Add Coke to fill or to taste. and serve., | 1.5 oz: Gold Rum | 4.5 oz: Cola,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1548,Captain Defender,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Fill a highball glass almost completely with ice cubes or cracked ice. Add the Captain Morgan Rum - Spiced Rum. Coca-cola and Sprite. Stir and serve., | 2 oz: Spiced Rum | 3 oz: Cola | 3 oz: Lemonade,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1549,Captain`s Elixir,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Mix together the tea (plain hot). Coca-cola and Captain Morgan Rum - Spiced Rum in a pint mason jar. and serve., | 3 oz: Spiced Rum | 4 oz: Tea - Hot | 5 oz: Cola,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1550,Chocolate Heaven Martini for 2,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour all ingredients into an ice-filled cocktail shaker. Shake and pour into 2 chilled cocktail glasses. and serve., | 1 oz: Chocolate Liqueur | 1 oz: White Chocolate Liqueur | 1 oz: Irish Cream | 1 oz: Creme De Cacao | 1 oz: Vodka | 2: Half-and-half,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1551,Creamy Pina Colada,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Blend all ingredients in a blender. except for ice. Serve over ice., | .5 Bottle(s): Rum | 1 Can(s): Coconut Cream | 1 Pint(s): Half-and-half | 1 qt: Pineapple Juice | 1 Can(s): Pineapple(s) | 1-4 tsp: Honey | 2 lb: Ice,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1552,Chocolate Milk with a Kick,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Chill all ingredients and pour in glass., | 2 oz: Vodka | 2 oz: Chocolate Liqueur | 4 oz: Milk,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1553,Cappucino Cocktail,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Shake all ingredients well with cracked ice. strain into a cocktail glass. and serve., | 3/4 oz: Coffee Brandy | 3/4 oz: Vodka | 3/4 oz: Light Cream,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1554,Cool Breeze,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the Stolichnaya (Stoli) Vodka into a highball glass over 5 ice cubes. Fill with Lemon Perrier. and add the juice extracted from half a lemon. Stir and serve., | 2 oz: Vodka | 6.5 oz: Lemon Soda Water | 1 oz: Lemon Juice,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1555,Cuban Breeze,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour Vodka and creme de almond into a hurricane glass filled with ice cubes. Fill with Juice - PineJuice - Apple Juice. Garnish with a pineapple wedge and a maraschino cherry. and serve., | 1 oz: Vodka | 1 oz: Creme De Almond | 6 oz: Apple Juice,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1557,Alaskan Oil Slick,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Layer blue curacao on bottom. peppermint schnapps in the middle. and Jager on top., | .5 oz: Blue Curacao Liqueur | .5 oz: Herbal Liqueur | .5:oz: Peppermint Schnapps,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1558,Cool Breeze Fru-Fru,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the Stolichnaya (Stoli) Vodka. Lemon Perrier. tangerine juice and cranberry juice into a highball glass over 5 ice cubes. Add the juice extracted from half a lemon. Stir and serve., | 2 oz: Vodka | 3 oz: Lemon Soda Water | 4 oz: Tangerine Juice | 3 oz: Cranberry Juice | 1 oz: Lemon Juice,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1559,Cape Breeze,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the coconut rum. juices and sugar into a highball glass almost filled with ice cubes. Stir well. and serve., | 1.5 oz: Coconut Rum | 2 oz: Cranberry Juice | 1.5 oz: Grapefruit Juice | .5 tsp: Superfine Sugar,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1560,Car Crash,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the Southern Comfort and Liqueur - Almond Liqueur into a collins glass over 1 or2 ice cubes. Fill the glass with.5 sweet and sour mix and.5 orange juice. Top with grenadine. and serve., | 1 oz: Peach Liqueur | 1 oz: Almond Liqueur | 7 oz: Sours | 7 oz: Orange Juice | 1 Dash(s): Grenadine Syrup,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1561,Canadian Car Bomb,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour beer into a glass. drop the shot of whiskey into the glass and chug., | 1 Bottle(s): Canadian Berry | 1 oz: Canadian Whisky,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1562,Chucks Irish Bomb,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Mix all ingredients in a container except for cherry juice. Pour into glasses and splash cherry juice on top., | 1 oz: Vodka | 1 oz: Irish Whiskey | 2 oz: Bourbon Whiskey | 2 oz: Tropical-Fruit Liqueur | 1 Splash(s): Cherry Juice | 4 oz: Energy Soda,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1563,Car Bomb,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Combine Irish cream and whiskey in a shot glass. Drop shot into a glass of Guinness and drink quickly., | 1 oz: Irish Cream | 1 Glass(s): Stout Beer | 1 oz: Whiskey,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1564,Cherry Vanilla Dr. Pepper,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour all ingredients into a collins glass. Stir. and serve., | 1 oz: Almond Liqueur | 4 oz: Rum | 8 oz: Pepper Soda | 2 Drop(s): Vanilla Extract,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1565,Chocolate Dr. Pepper,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Combine ingredients in a collins glass. Stir., | 1 oz: Coffee Liqueur | 12 oz: Pepper Soda,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1566,The Canadian Gulp,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the amaretto into the jar. Follow it up by pouring a chilled beer (Canadian if possible). Then top it off with the Coke., | 3 oz: Almond Liqueur | 1 Pint(s): Bitter Beer | 2 oz: Cola,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1567,Carrie`s Midori Sour,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the Absolut Vodka. Midori melon liqueur and sour mix into a cocktail shaker half-filled with ice cubes. Shake well. and strain into a highball glass almost filled with ice cubes. Top with Sprite. and stir lightly. Garnish with a lemon or lime wedge., | 1 oz: Vodka | 2 oz: Melon Liqueur | 2 oz: Sours | 1.5 oz: Lemonade,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1568,Alawai Canal,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Build over ice. stir. and enjoy., | 1.5 oz: Grape Schnapps | 1.5 oz: Raspberry Vodka | 3- 4 oz: Apple Juice | 2 Splash(s): Lemonade,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1569,Candy Apple Sour,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour Vodka. orange juice. and lemonade into a glass over ice. Fill the rest of the glass with sour apple mix. Stir. and serve., | 1 oz: Vodka | 1 oz: Orange Juice | 1 oz: Lemonade | 8 oz: Lime Juice,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1570,Comfortable Melons,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Add ingredients to a glass with ice., | 1 oz: Melon Liqueur | 1 oz: Peach Liqueur | 4 oz: Lemonade,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1571,Crocodile,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour midori and bacardi over a few ice cubes in a highball glass. Fill the rest of the way with the soda. and give a brisk stir., | 2 oz: Melon Liqueur | 1 oz: Lemon Rum |: Lemonade,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1572,Cherry Vodka Sour,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Place ice in a cocktail glass. Fill 1/2 the glass with Vodka and the rest of the glass (leaving 3 cm at the top) with sour mix. Add a tablespoon of Grenadine per 8 oz. glass. Garnish with an orange slice and cherry!, | 1 Part(s): Sours | 1 Part(s): Vodka | 1 tbsp: Grenadine Syrup,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1573,Classic Amaretto Sour,Classic Amaretto Sour,Put a few ice cubes in glass. Pour Amaretto over ice. then pour sour mix on top. Stir and enjoy., | 3 oz: Almond Liqueur | 3 oz: Sours,Calories: 281kcal | Carbohydrates: 33g | Protein: 1g | Fat: 1g | Saturated Fat: 1g | Sodium: 8mg | Potassium: 113mg | Fiber: 1g | Sugar: 30g | Vitamin A: 5IU | Vitamin C: 33mg | Calcium: 6mg | Iron: 1mg,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1574,Cactus Juice,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Fill glass with ice. Pour ingredients in order., | 1 oz: Tequila | 1/2 oz: Almond Liqueur | fill with: Sours,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1575,Cosmic Kool-Aid,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour all ingredients into a cocktail glass. Drop in two maraschino cherries. and serve., | 1 1/2 oz: Almond Liqueur | 1 1/2 oz: Sours | 3/4 oz: Grenadine Syrup,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1576,Cuba Libre,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour lime juice into a highball glass over ice cubes. Add rum. fill with cola. stir. and serve., | 2 oz: White Rum | 1/2 Juice of: Lime |: Cola,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1577,Caribbean Dream,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Combine ingredients in a highball glass. Stir. add ice and serve., | 2 Part(s): Orange Juice | 1 oz: Rum | 1 oz: Peach Schnapps | 5 mL: Grenadine Syrup,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1578,Crazy Erika,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Add all ingredients except sprite to a collins glass. and stir well to dissolve sugar. Add sprite. stir lightly. fill glass with ice amd serve., | 3 oz: White Rum | 3 oz: Pomegranate Juice | 3 oz: Lemonade | 3/4 oz: Lemon Juice | 1 tsp: Sugar,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1579,Alberto`s Magic Elixir,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Add three ice cubes to a highball glass. pour in Rum and Vodka. then the Blue curacao. Then layer Juice - Apple Juice. then Grand Marnier on top. Garnish with cherry or orange slice., | 1/4 oz: White Rum | .5 oz: Blue Curacao Liqueur | 1/4 oz: Orange Liqueur | 1/4 oz: Apple Vodka | 1 oz: Apple Juice,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1580,Caribbean Romance,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the rum. amaretto. orange juice and Juice - PineJuice - Apple Juice into a cocktail shaker half-filled with ice cubes. Shake well. Strain into a highball glass filled with ice cubes. and float grenadine on top. Garnish with slices of orange. lemon or, | 1 1/2 oz: White Rum | 1 oz: Almond Liqueur | 1 1/2 oz: Orange Juice | 1 1/2 oz: Apple Juice | 1 Splash(s): Grenadine Syrup,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1581,Cabana Club,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Blend with crushed ice., | 1 oz: Rum | 1/2 Part(s): Coconut Cream | 1 Part(s): Apple Juice | 1 Part(s): Cranberry Juice | 1 Dash(s): Grenadine Syrup,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1582,Citrus Tequila Fizz,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",1. Juice a lemon and a lime half; cut into wedges and add into a cocktail shaker along with the mint leaves and sugar (use superfine sugar or simple syrup if available). Muddle ingredients to release oils from the mint leaves. 2. Add the tequila. lemo, | 3 oz: White Tequila | 3/4 - 1 oz: Lemon Juice | 1/4 - 1/2 oz: Lime Juice | 2 tsp: Sugar | 3: Mint | top with: Club Soda,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1583,Cutty Rickey,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the whisky and lime juice into a highball glass filled with ice. Stir well. Fill with club soda. and stir again briefly. Garnish with a twist of lime. and serve., | 2 oz: Scotch Whiskey | 3/4 oz: Lime Juice | 3 1/2 oz: Club Soda,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1584,Caucasian,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour Vodka and Plant - Coffee liqueur (kahlua) over ice cubes. Add desired amount of Half-and-Half., | 2 oz: Vodka | 1 1/2 oz: Coffee Liqueur | 1 - 3 oz: Half-and-half |: Ice Cubes,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1585,Chocolate Martini Lite,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",While chilling a cocktail glass. shake Vodka. creme de cacao. and milk. Pour into the chilled cocktail glass over 1/2 chunk of Andes mint chocolate candy. and serve., | 1 oz: Vodka | 1 oz: Creme De Cacao | 1 1/2 oz: Milk | 1: Chocolate Mint,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1586,Canoe River Special,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour all ingredients into a blender 3/4 filled with crushed ice. Blend until smooth. Pour into a cocktail glass. and serve., | 1/4 Cups(s): Coffee Liqueur | 1/4 Cups(s): Irish Cream | 3/4 oz: Orange Liqueur | 1 Dash(s): Vodka,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1587,Candy Apple Martini,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour all ingredients into a cocktail shaker half-filled with ice cubes. Shake firmly and pour into a cocktail glass. Serve., | 1 oz: Vodka | 1/2 oz: Butterscotch Schnapps | 1 oz: Apple Liqueur | 1 oz: Cranberry Juice,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1588,Candy Apple Martini 2,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Shake alcohol and grenadine with ice cubes in a cocktail shaker; strain into a cocktail glass. Fill with ginger ale. and serve., | 1 oz: Coconut Rum | 2 oz: Sour Apple Schnapps | 1 Splash(s): Grenadine Syrup | 1 - 2 oz: Ginger Ale,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1589,Caramel Apple Martini,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Shake ingredients together in a cocktail shaker with ice. Strain into a cocktail glass. and serve., | 2 oz: Apple Rum | 2 oz: Butterscotch Schnapps,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1590,Algebra,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Combine with ice in a cocktail shaker. strain and serve in a cocktail glass., | 1 oz: Rum | .5 oz: Triple Sec | 2 tsp: Lemon Juice,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1591,Coney Island Iced Tea,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour rum and iced tea into a chilled cocktail glass. Add a splash of lemon juice. and serve., | 1 oz: Spiced Rum | 2 oz: Lemon Iced Tea | 1 Splash(s): Lemon Juice,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1592,Cabronasaurus,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Combine all ingredients in a blender. Blend on the highest setting for 55 seconds. and serve into coffee mugs., | 26: Coffee Beans | 5 oz: Ice Cream | 3 oz: Milk | 4 oz: Cinnamon Schnapps,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1593,Cafe Oliver,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the espresso into a small cup. Add sambuca. and serve., | 3 oz: Hot Coffee | 1 oz: White Sambuca,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1594,Captain Guy,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Served with ice. Poor the Captain Morgan Rum - Spiced Rum into a collins glass with a few ice cubes. Add the raspberry iced tea (from concentrate for best results) and serve., | 2.5 oz: Spiced Rum | 9.5 oz: Raspberry Iced Tea,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1595,Captain Climer,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Stir well., | 1.5 oz: Spiced Rum | 3/4 oz: Irish Cream | fill with: Root Beer,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1596,Candy Corona,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Add the shot of grenadine to a regular bottle of Corona lager. and serve., | 1 oz: Grenadine Syrup | 1 Bottle(s): Larger Beer,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1597,Cesar Chavez,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the grenadine into a collins glass THEN add ice. Swirl the grenadine to chill it. so it stays on the bottom during the build. Pour in the Dekuyper Watermelon Pucker schnapps. Carefully add 7-Up (or Sprite or Red Bull) to create a clear layer in the m, | .25 oz: Grenadine Syrup | 1 oz: Watermelon Schnapps | 1 oz: Melon Liqueur |: Lemonade,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1598,Captain`s Mast,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour all ingredients into an old-fashioned glass. Add 1 to 3 ice cubes. and serve, | 1 oz: Bourbon Whiskey | 1 oz: Bourbon Whiskey | 1 oz: Gold Tequila | 1 oz: Spiced Rum,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1599,Cherry Paradise,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the Malibu coconut rum and Everclear into a cup. Add Cherry Coke. and serve., | 4 oz: Coconut Rum | 1 oz: Grain Alcohol | 4 oz: Cherry Cola,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1600,Cherry Bomb 6,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the Crown Royal Canadian Whisky into a glass filled with a can of Red Bull. and serve., | 1 oz: Canadian Whisky | 8 oz: Energy Soda,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1601,Alexander Young,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Shake all ingredients together in a cocktail shaker with a few ice cubes. Strain into a whiskey sour glass. and serve., | 1.5 oz: Bourbon Whiskey | .5 oz: Apple Juice | .5:oz: Orange Juice | .5 oz: Lemon Juice,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1602,C*ck `n Balls,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the raspberry lemonade into a highball glass with several ice cubes. Add the Vodka`s by stirring in as you pour. and serve., | 5 oz: Raspberry Soda | 1 oz: Apple Vodka | 1 oz: Watermelon Vodka,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1603,Cinnamon Bun,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Sprinkle brown sugar and cinnamon on a plate. Moisten the rim of a glass with water. Then turn the glass upside down onto the plate to rim the glass with the cinnamon and sugar mixture. Turn the glass over. Add the hot cider and rum., | 1 .25 oz: Spiced Rum | 6 oz: Apple Soda | 1 tsp: Brown Sugar | 1 tsp: Cinnamon Sugar,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1604,Cold Hearted Threesome,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Add all ingredients to a blender. Blend until smooth. Pour into a hurricane glass. and serve., | 1 oz: Coconut Rum | 1 oz: Peach Schnapps | .5:oz: White Rum | 1 oz: Orange Juice | 1 oz: Cranberry Juice | 1 oz: Apple Juice | 1 oz: Grenadine Syrup | 1 Cup(s): Crushed Ice,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1605,Carl,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Make sure that the soup is nice and hot. When it is hot enough. let it cool to 96 degrees. At this point. you put a pint of Vodka in the soup and stir for 1 minute. When it is done. you will know it., | 2 Can(s): Chicken Noodle Soup:| 16 oz: Vodka,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
1606,Cookie Monster,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Mix and stir and pour over ice., | 1 oz: Exotic-Fruit Liqueur |: Apple Juice | 2 oz: Grain Alcohol,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
