Name,Description,Recipe,Ingredients,Nutrition Facts,Video Link
Cranberry Vodka Slush,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Mix all ingredients a day ahead and place in freezer. When ready to serve. take out of freezer and scoop and serve with ginger ale. if desired., | 4 Cups(s): Water | 12 oz: Lemonade | 6 oz: Cranberry Juice | 1 Cup(s): Sugar | 1 Bottle(s): Vodka,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Crazy Ninja,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the Jim Beam Bourbon whiskey into a highball glass. Add the Sierra Mist and a couple of ice cubes. and serve., | 2 oz: Bourbon Whiskey | 6 oz: Lemon-Lime Soda,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Creamsicle Martini,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Add ingredients. shake over ice and pour into a chilled martini glass. Serve., | 1.5 oz: Orange Vodka | 1.5 oz: Irish Cream,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Cotton Candy 3,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the gin. blue hawaiian schnapps and tom collins mix over ice in a shaker. Shake well. Pour into a tall glass or cup top it off with sprite (to taste). and serve., | 3 oz: Gin | 3 oz: Exotic-Fruit Liqueur | 2 oz: Collins Mix |: Lemonade,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Cuban Immigrant,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Combine all the ingredients in a cocktail shaker half-filled with ice cubes. Shake vigorously. strain into a highball glass. and serve., | 2 oz: Gin | 2 oz: Orange Juice | 2 oz: Lemonade | 1 Scoop(s): Sherbet,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Alco Choco Milkshake,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Combine all ingredients into a blender and blend for 30 seconds. Add a few cubes of ice to the blend if you prefer a frozen drink. Pour contents into a tall glass and enjoy., | 1 oz: Coffee Liqueur | 1 oz: Irish Cream | 1 oz: Chocolate Sauce | 2 Scoop(s): Chocolate Ice Cream | 10-12 oz: Milk,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Crystal Telekenisis,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the Mountain Dew Baja Blast into a cocktail glass. Add Schnapps - Peach Schnapps (or Hpnotiq liqueur). stir briefly and serve., | 2 oz: Peach Schnapps | 2 oz: Lime Soda,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Cosmo,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the Vodka. triple sec. cranberry juice and lime juice into a cocktail shaker half-filled with ice cubes. Shake well. strain into a cocktail glass. and serve., | 1.5 oz: Vodka | 3/4 oz: Triple Sec | 3/4 oz: Cranberry Juice | 1 oz: Lime Juice,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Caribe Cosmopolitan,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Shake all ingredients with ice and strain into a chilled martini glass. Garnish with flamed orange peel. and serve., | 1.5 oz: Lemon Rum | 1 oz: Cranberry Juice | 1 oz: Orange Liqueur | .5 oz: Lime Juice,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Cosmalize,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Shake with ice. strain into a chilled cocktail glass. and serve., | 1.5 oz: Passion-Fruit Liqueur | 1 oz: Citrus Vodka | 1 oz: Cranberry Juice | 1/4 oz: Lemon Juice,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Cosmopolitan Cocktail 3,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Stir ingredients on ice and strain into a martini glass., | 1 oz: Vodka | 1 oz: Orange Liqueur | 1 Dash(s): Cranberry Juice | 1 Dash(s): Lime Juice,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Cosmo Katie,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Chill cocktail glass. Pour ingredients with ice into mixer and shake well. Serve straight up with a cherry., | 2 oz: Blackcurrant Vodka | 1 oz: Orange Liqueur | 1 Splash(s): Lime Juice | 1 Splash(s): Cranberry Juice,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Cosmopolitan Cocktail 5,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Combine the Smirnoff Vodka. triple sec. fresh lime juice and cranberry juice in a cocktail shaker half-filled with ice cubes. Shake well and strain into a frosted cocktail glass. Rub the rim with orange zest (if desired) and drop it into the glass. Serve., | 1.5 oz: Vodka | 1.5 oz: Triple Sec | .5:oz: Cranberry Juice | .5 oz: Lime Juice | 1: Orange(s),There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Cosmopolitan Delight,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Shake all ingredients with ice and serve over ice in an old-fashioned glass. Top with a splash of red wine. Garnish with fresh fruit. and serve., | 1.5 oz: Brandy | .5 oz: Orange Curacao liqueur | .5:oz: Sugar Syrup | 3/4 oz: Lemon Juice | 1/4 oz: Orgeat Syrup | 1 Splash(s): Red Wine,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Cosmopolitan Heston Bar Style (Indiana),"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour all ingredients into a stainless steel cocktail shaker filled with ice. Shake very well and strain into a chilled martini / cocktail glass. A sheet of ice should form when the cosmo is strained into the glass., | 1 1/4 oz: Raspberry Vodka | 3/4 oz: Triple Sec | 1 Dash(s): Raspberry Liqueur | 1.5 oz: Cranberry Juice,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Cosmopolitan Cocktail 6,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Shake Vodkas. triple sec. sweet and sour. lime and cranberry juice vigorously in a shaker with ice. Strain into a martini glass. garnish with a lime wedge. and serve., | 1 oz: Vodka | .5 oz: Watermelon Vodka | .5:oz: Triple Sec | 1 Splash(s): Lime Juice | 1 Splash(s): Sours | .5 oz: Cranberry Juice,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Alhambra Royale,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Fill a mug with hot chocolate almost to the brim. Twist an orange peel over the mug and add it to the chocolate. Using a ladle. warm the cognac over hot water. ignite and while still flaming. pour into the mug. Garnish with whipped cream., | 1.5 oz: Brandy | 1 Cups(s): Hot Chocolate | 1 Twist(s): Orange(s) | .5 oz: Whipped Cream,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Cranberry Kiss,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Make by the glass for a few guests or in a shaker or pitcher for a large party. Serve in a cocktail glass. garnishing the glass rim with a half slice of fresh lime., | 4 oz: Tequila | 4 oz: Triple Sec | 8 oz: Cranberry Juice,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Cosmos,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",In a shaker half-filled with crushed ice. combine all of the ingredients. Shake well. Strain into a cocktail glass., | 2 oz: White Rum | 1 oz: Lime Juice | 1 tsp: Superfine Sugar |: Crushed Ice,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Cosmoquila,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Shake all ingredients with ice and strain., | 2 oz: White Tequila | 1 oz: Orange Liqueur | .5:oz: Lime Juice | 1 Splash(s): Cranberry Juice |: Ice,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Cosmotequila,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour all ingredients into a cocktail shaker half-filled with ice cubes. Shake well. strain into a cocktail glass. and serve., | 2 oz: Gold Tequila | 1 oz: Orange Liqueur | .5:oz: Lime Juice | 1 Splash(s): Cranberry Juice,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Concoction Cocktail,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour all ingredients into a highball glass almost filled with ice cubes. and serve., | 2 oz: Vodka | 2 oz: Cranberry Juice | 2 oz: Lemonade,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Coconut Gin,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Shake and strain into a champagne saucer filled with crushed ice., | 1.5 oz: Gin | .5 oz: Lime Juice | 1 oz: Coconut Cream,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Coconut Telegraph,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Blend ingredients in a bar blender. Pour into an old-fashioned glass., | 1 oz: Scotch Whiskey | 1 oz: White Rum | 1 oz: Coconut Cream | 2 oz: Condensed Milk,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Coconut Toastie,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Combine all ingredients (except coconut) in an electric blender and blend at a low speed for a short length of time. Pour into a chilled champagne flute. garnish with shredded coconut. and serve., | 1 oz: White Rum | 5 tbsp: Ice Cream | .25 oz: Whipped Cream |: Coconut Shredded,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Chameleon,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Combine all ingredients over ice., | 1 oz: Blue Curacao Liqueur | .5 Gallon(s): Orange Juice | fill with: Lemonade,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Coconut Guitar,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the blue curacao and coconut rum into a highball glass filled with ice cubes. Add cranberry juice to taste. and serve., | 1 oz: Coconut Rum | 1 oz: Blue Curacao Liqueur |: Cranberry Juice,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Alien Booger,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Shake ingredients in a cocktail shaker with ice. Strain into a chilled cocktail glass., | 1 oz: Melon Liqueur | 1 oz: Coconut Rum | 1 oz: Vodka | 1 Splash(s): Apple Juice,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Cream Puff,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the rum. light cream and powdered sugar into a cocktail shaker half-filled with cracked ice. Shake well. and strain over 2 or 3 ice cubes in a highball glass. Fill with club soda. and serve., | 2 oz: White Rum | 1 oz: Light Cream | 1 tsp: Superfine Sugar | 6 oz: Club Soda,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Cream Sherry Flip,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Combine the sherry. egg. sugar and cream in a cocktail shaker half-filled with ice cubes. and shake well. Strain into a cocktail glass. garnish with a dusting of nutmeg. and serve., | 2.5 oz: Sherry | 1: Egg | 1 tsp: Superfine Sugar | 1 tsp: Light Cream | 1 tsp: Nutmeg,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Canadian Hangover,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Stir ingredients (except cream) together in a highball glass filled with ice cubes. and serve. Top with whipped cream. and serve., | 1.5 oz: Almond Liqueur | .5 oz: Chocolate Liqueur | 2 oz: Coffee Liqueur | 2 oz: Milk | 5 Drop(s): Vanilla Extract | .5 oz: Whipped Cream,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Caribbean Orange Liqueur,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",1. Pare very thinly the bright-colored rind from the oranges (no white). Blot the peel on paper towels to remove any excess oil. Put peel in a 4 cup screw-top jar. Add 2 cups Vodka. Close jar. Store in a cool. dark place for 2 days or until the Vodka, | 3: Orange(s) | 3 Cups(s): Vodka | 1 1/3 Cups(s): Superfine Sugar,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Cream Cordial,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",In blender container. combine all ingredients. blend until smooth. Serve over ice if desired. Store tightly covered in refrigerator for up to one month. Stir before using. *The Coffee Liqueur can be substituted for Almond. Mint or Orange Liqueur., | 14 oz: Condensed Milk | 1 1/4 Cups(s): Coffee Liqueur | 1 Cups(s): Whipping Cream | 4: Egg,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Christmas Nipple,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Stir ingredients together over ice in a coffee mug. and serve., | 1 oz: Irish Cream | 1 oz: Butterscotch Schnapps | 1 oz: Eggnog,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Colorado Bulldog 2,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour all ingredients into a collins glass almost filled with ice cubes. Stir well and serve., | 1.5 oz: Butterscotch Liqueur | 1 oz: Coffee Liqueur | 2 oz: Cola | 4 oz: Half-and-half,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Crown and Coke,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the Crown Royal into an old-fashioned glass filled with ice cubes. Fill the rest with coke. and serve., | 1.5 oz: Canadian Whisky |: Cola,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Crimson Passion,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour both ingredients into an old-fashioned glass.5 filled with ice cubes. Stir slightly. and serve., | 6 oz: Passion-Fruit Liqueur | 3 oz: Apricot Nectar,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Chocolate Charlies,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Put a little Hersheys syrup in the bottom of a glass and add warm milk (.5 glass) and mix well. Add Voyant on top to fill glass and then froth up - sprinkle powdered nutmeg or cinnamon on top and serve warm as an after dinner drink., | 6 oz: Cream Liqueur | 6 oz: Milk | 1 Dash(s): Chocolate Sauce | 1 Pinch(s): Nutmeg,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
All Plucked Up,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Add ice. orange juice. lime juice. Juice - PineJuice - Apple Juice. dark rum and coconut rum to a shaker. Shake until very chilled and blended. Strain out ice as you pour the remaining contents into a cocktail glass (looks great in a martini glass). Add g, | 1.5 oz: Black Rum | .5 oz: Coconut Rum | 1/4 oz: Grenadine Syrup | 1 oz: Lime Juice | 2 oz: Orange Juice | 3 oz: Apple Juice | 5: Ice Cubes | 1 Slice(s): Orange(s),There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Cupcake,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Fill a glass half full with cubed ice. Pour in.5 cup of Seagram`s vanilla Vodka (or other vanilla Vodka). Pour in.5 cup of Sprite from.5 a foot above glass (helps make it mix better). Stir for 10 seconds. and serve., | .5 Cups(s): Canadian Whisky | .5 Cups(s): Lemonade,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Coquito,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Boil the cinnamon sticks in the water. Take the sticks out when the water is yellow and has the smell and taste of cinnamon. Add the evaporated milk. condensed milk and egg yolks and cook at low temperature. While it`s cooking stir to avoid it stickin, | .5 Litre(s): Water | 15 oz: Coconut Cream | 12 oz: Evaporated Milk | 14 oz: Condensed Milk | 4: Egg Yolk | 2-3: Cinnamon Sugar | 1 Litre(s): White Rum,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Crimson Tide 2,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour ingredients into a collins glass almost filled with ice cubes. stir slightly and serve., | 3 oz: Orange Rum | 6 oz: Cherry Soda,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Creamy Root Beer Float,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Fill a frosted beer mug with ice. Pour 1.5 to 2 ounces of Dr. Vanillacuddy`s over ice. fill glass with root beer about .75 of an inch from the top. Top off with cream to taste., | 2 oz: Vanilla Schnapps | 1 tbsp: Cream | 10 oz: Root Beer,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Cranberry Cordial,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Place the chopped cranberries in a 2 liter jar that has a tight-fitting lid. Add the sugar and rum. Adjust the lid securely and place the jar in a cool. dark place. Invert the jar and shake it every day for six weeks. When ready. strain the cordial in, | 0.5 kg: Cranberries | .75 Litre(s): Sugar | 0.5 Litre(s): White Rum,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Caipiroska,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Crush sugar into the lime wedges with a spoon. Place the lime wedges in the bottom of an 8 oz. glass. Cover with crushed ice. fill glass with Vodka. and serve., |: Vodka | 8: Lime Wedges | 1 tsp: Sugar,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Cold Green Slime,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the Surge and Vodka into a collins glass. Add a few ice cubes. and stir well. Add the sugar gradually while sitrring carefully. and serve., | 12 oz: Citrus Soda | 2 oz: Vodka | 1 tsp: Sugar,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Chocolate Banana Banshee,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the white creme de cacao. banana liqueur and cream into a cocktail shaker half-filled with ice cubes. Shake well. strain into a chilled cocktail glass. and serve., | 1 oz: White Creme De Cacao | 1 oz: Banana Liqueur | 1 oz: Cream,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Coco Cognac,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the ingredients in a shaker with ice cubes. shake. and pour in a cocktail glass., | 28 mL: Brandy | 14 mL: Coffee Liqueur | 56 mL: Milk,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Cognac Mint Frappe,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Mix and pour into a champagne saucer filled with crushed ice. Garnish with a sprig of mint. and serve with a short straw., | 1.5 oz: Brandy | 3/4 oz: White Creme De Menthe,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Alligator Bait,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Fill a highball glass with ice. and add Strawberry Schnapps. OJ and Melon Liqueur., | 2: Melon Liqueur | 1 oz: Strawberry Schnapps | 3 oz: Orange Juice,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Cognac Highball,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour cognac into a highball glass over ice cubes. Fill with carbonated water. Add the twist of lemon peel. stir. and serve. (Ginger ale may be substituted for carbonated water. if preferred.), | 2 oz: Brandy |: Soda Water | 1 Twist(s): Lemon,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Cognac and Soda,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour cognac over ice in a highball glass. fill with club soda. and serve., | 2 oz: Brandy | 5 oz: Club Soda,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
California Iced Tea,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour ingredients into a collins glass filled with ice. Garnish with a lemon twist or an orange slice., | fill with.5: Sours | .5 oz: Orange Curacao liqueur | 1 oz: White Rum | .5 oz: Tequila | .5 oz: Gin | .5: Vodka | fill with: Orange Juice | 1 Splash(s): Lemonade,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Creamsicle 2,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Stir with a straw., | 2 Part(s): Almond Liqueur | 1 Part(s): Triple Sec | 2 oz: Sours | 4 oz: Orange Juice | 1 Splash(s): Soda Water,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Cinco de Mayo 2,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour the watermelon schnapps into a collins glass. Fill halfway with ice. Stand up a gold foil covered chocolate coin in ice against the contour of the glass. Fill rest of glass with ice. Now that the schnapps has chilled. tilt the glass and gently po, | 1.5 oz: Tequila | 1 oz: Melon Liqueur | 1 oz: Watermelon Schnapps | 1: Chocolate | 4-5 oz: Lemonade | 1: Lemon,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Cloudy Sky,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour into a highball glass filled with broken ice. Garnish with a slice of lime. and serve., | 2 oz: Gin | 1 oz: Lime Juice | 2 oz: Ginger Ale,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Cloudy Sunshine,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Build over ice in a highball glass. Too strong? Half the spirits and lime but still fill with lemonade., | 1 2/3 oz: Gin | 1 2/3 oz: Coconut Rum | 2 oz: Lemonade | 5/6 oz: Lime Juice,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Chocolate Flip,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Shake ingredients in a cocktail shaker with ice. Strain into a sour glass and garnish with nutmeg on top., | 3/4 oz: Brandy | 3/4 oz: Gin | 2 tsp: Cream | 1 Dash(s): Nutmeg | 1 tsp: Sugar | 1: Egg,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Castillian Hot Chocolate,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Shift the cocoa and sugar together into a medium-sized saucepan. Dissolve the cornstarch in the water. and stir into the cocoa and sugar until it is a smooth paste. Begin heating the mixture. stirring it with a whisk. and gradually pour in the milk. C, | 0.5 Cup(s): Cocoa Powder | 1 Cup(s): Sugar | 7 tsp: Cornstarch | 0.5 Cup(s): Water | 1 qt: Milk,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Allegro,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Stir ingredients over ice cubes in a highball glass. and serve., | 2 oz: Vodka | .5 - 1 oz: Lime Juice | 1 Splash(s): Bitters | 4 oz: Tonic Water,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Crazy Janie,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Pour orange Vodka into a deep stemmed glass with ice. Fill with grapefruit juice. add sprite or champagne. and stir gently. Spin the glass and drizzle in a few drops of grenadine to make a spiral effect. Garnish with a slice of lemon on the rim of the gla, | 2 oz: Orange Juice |: Grapefruit Juice | 1 Splash(s): Lemonade |: Grenadine Syrup,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
Coffee Egg Nog,"Unfortunately, we have no description for this drink... You'll have to describe it yourself!",Combine all ingredients in a blender with half a cup of crushed ice. Blend until smooth. Pour into a collins glass. sprinkle with nutmeg. and serve., | 2 oz: Scotch Whiskey | 1 oz: Coffee Liqueur | 6 oz: Milk | 1 oz: Half-and-half | 1 tsp: Sugar Syrup | 0.5 tsp: Coffee | 1: Egg,There doesn't seem to be any nutritional facts associated to this cocktail. But we know that's not why you're here...,There doesn't seem to be an instructional video for this cocktail. Why not make the tutorial yourself!
